timestamps,Chiasso_610 02 06_NO,Chiasso_610 02 06_NO2,Chiasso_610 02 06_NOx,Chiasso_610 02 06_O3,Chiasso_610 02 06_PM10,Chiasso_610 02 06_PM2.5,Stabio_626 01 01_NO2,Stabio_626 01 01_O3,Stabio_16_Gl,Mendrisio_27_P,Stabio_16_P,Mendrisio_27_Prec,Stabio_16_Prec,Mendrisio_27_RH,Stabio_16_RH,Mendrisio_27_T,Stabio_16_T_2m,Stabio_16_T_5cm,Mendrisio_27_Tdew,Stabio_16_Tdew,Mendrisio_27_WDvect,Stabio_16_WDvect,Mendrisio_27_WSgust,Stabio_16_WSgust,Mendrisio_27_WSvect,Stabio_16_WSvect,Chiasso_auto_283_P,Chiasso_auto_283_Prec,Sagno_auto_381_Prec,Chiasso_auto_283_RH,Sagno_auto_381_RH,Chiasso_auto_283_T,Sagno_auto_381_T_mhstaz,Sagno_auto_381_T_mhstaz,Chiasso_auto_283_WD,Sagno_auto_381_WD,Chiasso_auto_283_WS,Sagno_auto_381_WS,Chiasso_auto_283_WSgust,Sagno_auto_381_WSgust,Sagno_auto_381_P,Chiasso_610 02 06_T
2015-01-01 09:00:00,30.5,36.0,43.0,4.0,40.0,nan,nan,nan,22.0,847.95,991.25,0.0,0.0,37.45,92.4,-2.2,-5.1,-7.1,-14.8,-6.15,329.0,226.0,5.4,1.55,3.55,0.65,1003.25,0.0,0.0,69.4,64.25,-1.1,-1.35,nan,243.5,72.5,0.4,0.4,1.1,0.6,949.5,nan
2015-01-01 09:30:00,22.5,32.0,34.5,6.0,39.5,nan,nan,nan,46.5,848.3,991.65,0.0,0.0,35.1,89.55,-2.2,-4.7,-6.35,-15.55,-6.15,317.0,240.0,4.95,1.05,4.25,0.75,1003.65,0.0,0.0,68.3,60.85,-0.6,0.4,nan,308.5,155.5,0.75,0.55,1.75,0.85,949.9,nan
2015-01-01 10:00:00,19.5,30.0,31.5,9.0,40.5,nan,nan,nan,204.0,848.65,992.0,0.0,0.0,49.9,90.9,-2.15,-2.65,-4.9,-11.2,-3.95,320.0,233.5,5.25,1.0,3.85,0.65,1004.05,0.0,0.0,64.6,60.55,0.45,1.3,nan,255.5,124.5,0.5,0.8,1.3,1.2,950.25,nan
2015-01-01 10:30:00,18.0,30.0,30.5,11.0,32.5,nan,nan,nan,254.0,849.0,992.2,0.0,0.0,41.7,87.75,-1.15,-0.7,-3.65,-12.5,-2.5,325.5,144.5,5.55,0.85,2.8,0.3,1004.15,0.0,0.0,62.75,68.2,1.4,0.7,nan,210.5,187.5,0.65,0.5,1.6,1.2,950.4,nan
2015-01-01 11:00:00,16.0,28.5,28.0,14.5,25.0,nan,nan,nan,293.0,849.2,992.3,0.0,0.0,42.7,75.1,-1.5,0.9,-2.15,-12.55,-3.0,317.5,94.5,5.1,1.0,3.25,0.65,1004.2,0.0,0.0,59.4,69.5,2.5,0.8,nan,228.0,214.5,0.55,0.75,1.2,1.25,950.6,nan
2015-01-01 11:30:00,10.5,24.5,21.5,21.0,21.0,nan,nan,nan,323.0,849.15,992.0,0.0,0.0,39.6,72.35,-1.05,1.75,-1.25,-13.1,-2.7,319.0,107.5,4.95,1.2,2.6,0.75,1003.85,0.0,0.0,56.25,67.6,3.6,1.55,nan,176.5,205.0,0.6,0.65,1.6,1.2,950.45,nan
2015-01-01 12:00:00,7.5,23.5,18.5,24.5,12.5,nan,nan,nan,343.0,849.05,991.85,0.0,0.0,39.7,66.2,-0.95,3.05,-0.55,-12.95,-2.6,310.0,127.5,5.75,1.3,3.35,0.6,1003.7,0.0,0.0,51.2,63.95,4.65,2.2,nan,212.0,206.0,0.55,1.0,1.6,1.4,950.4,nan
2015-01-01 12:30:00,7.0,23.5,18.0,27.0,12.5,nan,nan,nan,347.0,848.9,991.5,0.0,0.0,40.1,61.35,-0.8,3.65,-0.3,-12.7,-3.05,315.5,124.0,6.2,1.35,3.35,0.65,1003.4,0.0,0.0,50.65,62.5,4.95,2.4,nan,314.0,198.0,0.6,0.65,1.5,1.1,950.15,nan
2015-01-01 13:00:00,6.0,22.5,17.0,30.5,16.5,nan,nan,nan,341.5,848.75,991.0,0.0,0.0,41.55,58.3,-0.45,5.2,-0.1,-11.9,-2.3,308.5,209.5,4.95,1.95,3.2,0.9,1002.8,0.0,0.0,49.2,59.6,5.6,3.4,nan,171.5,209.0,0.85,0.7,2.1,1.45,949.75,nan
2015-01-01 13:30:00,5.0,21.5,15.5,33.0,17.0,nan,nan,nan,307.5,848.65,990.8,0.0,0.0,42.8,60.05,-0.05,5.25,0.35,-11.2,-1.85,322.5,231.5,4.3,2.2,2.65,0.9,1002.7,0.0,0.0,45.55,58.1,6.35,3.75,nan,191.0,187.0,0.6,1.0,1.6,1.75,949.7,nan
2015-01-01 14:00:00,5.0,22.0,15.5,34.5,24.0,nan,nan,nan,272.5,848.7,990.65,0.0,0.0,45.75,57.1,2.45,5.95,0.6,-8.05,-1.9,247.5,220.0,2.95,1.8,0.7,1.1,1002.4,0.0,0.0,45.9,51.25,6.35,3.95,nan,171.5,185.5,0.85,1.1,2.0,1.7,949.55,nan
2015-01-01 14:30:00,5.0,25.5,17.5,34.0,30.0,nan,nan,nan,242.5,848.75,990.5,0.0,0.0,43.6,53.45,3.6,6.05,0.7,-7.6,-2.7,191.0,242.0,2.3,2.15,0.65,1.3,1002.3,0.0,nan,45.45,nan,6.55,nan,nan,146.5,nan,0.6,nan,1.55,nan,nan,nan
2015-01-01 15:00:00,5.5,31.5,21.0,29.5,33.5,nan,nan,nan,120.5,848.9,990.6,0.0,0.0,43.65,49.15,4.05,5.85,1.25,-7.2,-4.0,183.5,247.0,3.1,1.95,1.9,1.25,1002.4,0.0,0.0,47.3,51.6,6.1,4.8,nan,143.0,223.0,0.8,0.8,1.6,1.45,949.65,nan
2015-01-01 15:30:00,8.5,41.5,28.5,20.5,44.5,nan,nan,nan,37.5,849.05,990.7,0.0,0.0,44.35,47.7,3.45,5.7,0.6,-7.5,-4.55,323.0,234.5,2.7,1.65,1.55,1.2,1002.5,0.0,0.0,49.75,53.0,5.5,4.45,nan,146.0,229.5,1.2,0.9,2.05,1.25,949.7,nan
2015-01-01 16:00:00,13.0,52.5,38.0,11.5,54.0,nan,nan,nan,26.5,849.15,990.7,0.0,0.0,44.4,53.0,4.0,3.85,-0.35,-7.05,-4.85,321.5,226.5,3.45,1.6,2.45,1.05,1002.5,0.0,0.0,53.25,54.95,5.25,3.85,nan,107.0,219.5,0.9,0.5,1.85,1.05,949.7,nan
2015-01-01 16:30:00,18.0,58.0,45.0,6.5,54.0,nan,nan,nan,11.0,849.2,991.05,0.0,0.0,43.45,59.95,4.25,1.8,-2.4,-7.05,-5.15,333.0,226.0,3.5,0.9,2.75,0.55,1002.8,0.0,0.0,56.55,60.65,4.55,2.9,nan,63.5,153.5,1.0,0.45,2.0,0.75,950.0,nan
2015-01-01 17:00:00,25.5,58.5,51.5,4.0,54.5,nan,nan,nan,0.0,849.4,991.25,0.0,0.0,45.25,66.1,3.9,0.2,-3.65,-6.85,-5.4,329.5,123.0,5.7,0.7,3.3,0.15,1003.1,0.0,0.0,60.15,64.65,3.75,1.3,nan,142.5,59.0,0.45,0.45,1.15,0.7,950.15,nan
2015-01-01 17:30:00,24.5,54.5,48.5,2.5,61.5,nan,nan,nan,0.0,849.7,991.45,0.0,0.0,43.7,69.1,5.1,-0.3,-4.65,-6.2,-5.3,329.0,252.5,5.65,0.95,3.7,0.45,1003.2,0.0,0.0,62.15,69.3,3.05,0.35,nan,107.0,33.5,0.25,0.6,0.9,0.85,950.2,nan
2015-01-01 18:00:00,20.5,50.5,42.5,2.0,63.5,nan,nan,nan,0.0,849.85,991.55,0.0,0.0,42.35,78.55,5.5,-1.6,-5.55,-6.25,-4.85,329.0,109.5,4.0,0.55,2.75,0.1,1003.35,0.0,0.0,63.95,69.95,2.55,0.2,nan,258.5,49.0,0.4,0.6,1.25,0.8,950.25,nan
2015-01-01 18:30:00,23.5,50.0,44.5,2.0,62.0,nan,nan,nan,0.0,850.0,991.8,0.0,0.0,42.85,71.3,5.3,-1.5,-5.6,-6.3,-6.0,330.5,243.5,3.95,1.25,2.65,0.9,1003.55,0.0,0.0,65.3,70.5,2.05,0.15,nan,249.0,27.0,0.35,0.65,0.9,0.8,950.45,nan
2015-01-01 19:00:00,25.0,49.5,45.5,2.0,68.5,nan,nan,nan,0.0,850.25,992.05,0.0,0.0,43.15,72.65,5.05,-1.8,-6.0,-6.45,-6.05,330.5,233.0,3.7,0.9,2.65,0.45,1003.9,0.0,0.0,66.5,69.9,1.4,0.1,nan,267.0,10.5,0.55,0.55,1.5,0.75,950.65,nan
2015-01-01 19:30:00,31.5,51.5,51.5,2.5,79.0,nan,nan,nan,0.0,850.55,992.3,0.0,0.0,39.9,76.75,6.1,-2.1,-5.65,-6.5,-5.6,301.5,242.5,2.65,1.65,1.5,1.0,1004.25,0.0,0.0,67.05,70.85,1.15,-0.05,nan,253.5,27.5,0.5,0.6,1.15,0.8,950.95,nan
2015-01-01 20:00:00,35.5,52.0,55.5,3.0,89.0,nan,nan,nan,0.0,850.7,992.6,0.0,0.0,39.4,85.0,6.15,-2.85,-6.25,-6.6,-5.0,276.5,230.0,2.3,1.2,1.15,0.75,1004.4,0.0,0.0,68.2,69.65,0.7,0.0,nan,270.5,29.5,0.85,0.8,1.85,1.0,951.05,nan
2015-01-01 20:30:00,31.5,49.0,51.5,3.0,93.5,nan,nan,nan,0.0,850.85,992.8,0.0,0.0,42.1,83.85,5.15,-2.8,-6.45,-6.65,-5.1,330.0,227.0,2.35,1.1,1.8,0.65,1004.65,0.0,0.0,69.15,66.9,0.35,0.45,nan,253.5,25.5,0.65,0.9,1.35,1.1,951.35,nan
2015-01-01 21:00:00,37.0,50.5,56.5,2.5,93.0,nan,nan,nan,0.0,850.95,992.7,0.0,0.0,39.75,82.9,6.15,-2.95,-6.15,-6.5,-5.4,322.5,231.0,2.0,1.2,1.7,0.7,1004.65,0.0,0.0,69.7,62.75,0.25,0.15,nan,291.5,32.5,0.6,0.6,1.35,0.75,951.3,nan
2015-01-01 21:30:00,44.0,52.0,62.5,2.5,97.5,nan,nan,nan,0.0,850.95,992.65,0.0,0.0,40.35,89.75,5.85,-3.55,-6.55,-6.6,-5.0,228.5,251.0,1.85,1.35,1.0,0.45,1004.45,0.0,0.0,70.75,58.15,0.05,0.65,nan,248.5,32.5,0.55,0.95,1.3,1.1,951.1,nan
2015-01-01 22:00:00,45.0,50.5,62.5,2.5,103.5,nan,nan,nan,0.0,850.9,992.4,0.0,0.0,42.35,85.05,5.3,-3.2,-6.5,-6.45,-5.35,131.5,239.5,3.3,1.65,2.35,1.05,1004.25,0.0,0.0,70.85,57.45,-0.05,0.75,nan,276.0,19.0,0.75,0.8,1.55,1.0,951.0,nan
2015-01-01 22:30:00,45.0,49.5,62.0,2.0,103.0,nan,nan,nan,0.0,850.8,992.3,0.0,0.0,47.45,86.85,3.65,-3.7,-6.65,-6.45,-5.6,127.5,241.0,4.7,1.3,3.65,0.7,1004.2,0.0,0.0,71.05,57.05,-0.2,0.9,nan,256.0,10.0,0.5,0.85,1.4,1.0,950.9,nan
2015-01-01 23:00:00,41.5,46.5,58.0,2.0,100.0,nan,nan,nan,0.0,850.8,992.25,0.0,0.0,43.75,89.85,4.8,-3.65,-6.65,-6.45,-5.05,134.0,241.5,3.65,1.05,2.85,0.65,1004.15,0.0,0.0,71.6,55.25,-0.5,0.95,nan,255.0,28.5,0.85,0.75,1.85,0.9,950.85,nan
2015-01-01 23:30:00,38.5,44.0,54.0,2.0,98.0,nan,nan,nan,0.0,850.8,992.05,0.0,0.0,42.6,89.1,5.05,-3.9,-6.85,-6.6,-5.45,146.0,227.5,3.1,1.4,2.7,1.1,1003.9,0.0,0.0,71.95,56.8,-0.5,0.9,nan,273.5,17.5,0.55,0.85,1.3,1.0,950.6,nan
2015-01-02 00:00:00,38.0,43.0,53.0,2.0,96.0,nan,nan,nan,0.0,850.8,991.95,0.0,0.0,42.45,88.9,5.0,-4.05,-6.95,-6.7,-5.6,143.0,237.0,2.95,1.15,2.65,0.8,1003.9,0.0,0.0,72.85,56.1,-0.8,0.95,nan,287.0,24.0,0.45,0.8,1.2,0.95,950.6,nan
2015-01-02 00:30:00,38.0,40.5,52.0,2.0,101.5,nan,nan,nan,0.0,850.8,991.95,0.0,0.0,40.65,90.55,5.5,-4.0,-6.85,-6.8,-5.3,128.0,235.0,1.75,1.25,1.2,0.85,1003.75,0.0,0.0,72.8,55.45,-0.9,0.95,nan,257.0,30.5,0.75,0.8,1.7,0.9,950.55,nan
2015-01-02 01:00:00,36.0,38.5,49.0,2.0,115.0,nan,nan,nan,0.0,850.65,991.65,0.0,0.0,41.35,90.5,5.3,-4.25,-7.25,-6.8,-5.6,126.5,224.0,2.5,1.45,2.15,0.9,1003.45,0.0,0.0,74.4,54.7,-1.2,1.4,nan,274.0,35.5,0.4,0.7,1.05,0.85,950.2,nan
2015-01-02 01:30:00,33.5,38.0,47.0,2.0,112.5,nan,nan,nan,0.0,850.4,991.25,0.0,0.0,40.4,89.8,5.7,-4.3,-7.05,-6.7,-5.7,91.5,237.5,1.85,1.45,1.0,0.95,1003.1,0.0,0.0,73.35,57.1,-1.0,1.75,nan,281.0,22.0,0.55,0.55,1.3,0.75,949.85,nan
2015-01-02 02:00:00,35.5,37.5,48.5,2.0,101.5,nan,nan,nan,0.0,850.25,990.9,0.0,0.0,40.35,92.35,5.65,-4.35,-7.15,-6.8,-5.4,108.5,243.5,2.05,1.05,1.45,0.6,1002.8,0.0,0.0,73.75,56.65,-1.05,2.05,nan,282.0,30.5,0.3,0.75,1.05,0.9,949.65,nan
2015-01-02 02:30:00,37.5,36.0,49.0,2.0,97.0,nan,nan,nan,0.0,850.35,990.95,0.0,0.0,41.45,93.3,5.3,-4.75,-7.15,-6.75,-5.65,115.5,229.5,2.55,1.1,2.05,0.85,1002.85,0.0,0.0,73.25,56.0,-1.15,2.45,nan,221.5,10.0,0.4,0.7,1.3,0.9,949.65,nan
2015-01-02 03:00:00,37.0,35.0,48.0,2.0,90.5,nan,nan,nan,0.0,850.4,990.9,0.0,0.0,41.5,90.45,5.4,-4.45,-6.8,-6.65,-5.8,72.5,233.0,2.0,1.65,1.4,1.15,1002.75,0.0,0.0,73.35,56.55,-1.15,2.6,nan,283.5,18.5,0.45,0.8,1.25,0.95,949.65,nan
2015-01-02 03:30:00,38.5,34.5,49.0,2.0,86.5,nan,nan,nan,0.0,850.4,990.8,0.0,0.0,42.4,94.7,5.55,-4.8,-7.15,-6.2,-5.55,36.5,227.5,3.0,1.4,1.65,1.0,1002.6,0.0,0.0,72.9,55.95,-1.15,2.8,nan,247.5,32.5,0.5,0.85,1.15,1.0,949.6,nan
2015-01-02 04:00:00,40.0,33.5,49.5,2.0,83.0,nan,nan,nan,0.0,850.25,990.5,0.0,0.0,41.85,92.85,5.7,-4.65,-7.25,-6.25,-5.65,331.0,231.5,1.45,1.0,0.65,0.75,1002.25,0.0,0.0,73.2,54.55,-1.25,3.2,nan,252.5,12.5,0.3,0.95,0.85,1.1,949.25,nan
2015-01-02 04:30:00,41.5,33.5,50.5,2.0,76.0,nan,nan,nan,0.0,850.1,990.2,0.0,0.0,41.7,91.95,5.7,-4.6,-7.25,-6.25,-5.7,309.0,234.0,2.0,1.25,0.8,0.8,1002.0,0.0,0.0,72.85,53.85,-1.0,3.3,nan,72.0,26.0,0.4,0.75,1.0,0.85,949.05,nan
2015-01-02 05:00:00,51.5,35.0,59.5,2.0,70.5,nan,nan,nan,0.0,849.85,989.85,0.0,0.0,42.85,92.1,5.2,-4.6,-7.3,-6.4,-5.65,332.0,233.0,3.15,1.3,2.3,0.75,1001.65,0.0,0.0,72.65,52.0,-1.05,3.8,nan,231.0,18.5,0.55,0.9,1.5,1.0,948.75,nan
2015-01-02 05:30:00,66.0,35.5,71.5,2.0,68.0,nan,nan,nan,0.0,849.7,989.7,0.0,0.0,41.85,92.35,5.8,-4.7,-7.05,-6.15,-5.75,326.5,239.0,4.85,1.5,3.7,1.1,1001.55,0.0,0.0,73.3,52.0,-1.25,3.8,nan,272.5,15.0,0.35,0.85,1.1,1.0,948.6,nan
2015-01-02 06:00:00,76.5,37.0,80.5,2.0,66.0,nan,nan,nan,0.0,849.7,989.65,0.0,0.0,39.75,93.6,6.7,-5.1,-7.5,-6.0,-6.0,326.0,235.0,6.0,1.15,4.25,0.8,1001.4,0.0,0.0,73.2,51.15,-1.1,4.1,nan,259.5,16.0,0.4,0.8,1.1,0.95,948.45,nan
2015-01-02 06:30:00,102.0,43.5,104.5,2.0,60.0,nan,nan,nan,0.0,849.7,989.75,0.0,0.0,39.5,88.25,6.5,-4.4,-7.3,-6.25,-6.05,326.5,237.5,5.45,1.35,3.85,0.95,1001.6,0.0,0.0,73.45,51.65,-1.4,4.0,nan,276.0,22.5,0.4,0.9,1.05,1.1,948.6,nan
2015-01-02 07:00:00,98.0,42.5,100.5,2.0,54.0,nan,nan,nan,0.0,849.75,989.95,0.0,0.0,39.9,95.05,6.25,-5.05,-7.0,-6.35,-5.7,331.0,233.0,5.4,1.2,3.95,0.65,1001.8,0.0,0.0,73.45,51.85,-1.25,3.9,nan,250.5,18.5,0.55,0.9,1.4,1.05,948.8,nan
2015-01-02 07:30:00,86.0,40.0,89.5,2.0,53.5,nan,nan,nan,0.0,849.7,989.9,0.0,0.0,38.65,91.25,6.75,-4.6,-7.35,-6.3,-5.8,338.5,226.0,6.3,1.6,4.35,1.0,1001.7,0.0,0.0,73.9,53.3,-1.25,3.65,nan,233.0,23.0,0.5,0.85,1.3,0.95,948.7,nan
2015-01-02 08:00:00,78.5,39.0,83.5,2.0,50.5,nan,nan,nan,0.5,849.75,989.9,0.0,0.0,37.3,95.8,6.9,-5.3,-7.65,-6.65,-5.85,335.0,241.0,7.05,1.0,4.85,0.6,1001.75,0.0,0.0,74.95,52.95,-1.4,3.75,nan,254.5,24.5,0.7,0.9,1.45,1.0,948.75,nan
2015-01-02 08:30:00,63.0,37.0,69.5,2.0,46.5,nan,nan,nan,13.0,849.9,990.0,0.0,0.0,37.15,90.25,7.05,-4.8,-7.1,-6.55,-6.2,330.5,234.5,6.6,1.55,4.75,1.05,1001.8,0.0,0.0,73.75,53.75,-1.2,3.9,nan,277.5,56.5,0.45,0.65,1.2,0.9,948.85,nan
2015-01-02 09:00:00,68.0,39.5,75.0,2.5,43.0,nan,nan,nan,25.0,849.95,989.75,0.0,0.0,35.9,93.1,7.45,-4.7,-6.3,-6.65,-5.65,335.5,237.0,5.7,1.1,4.3,0.5,1001.6,0.0,0.0,69.85,52.55,-0.2,4.4,nan,306.5,22.0,0.35,0.85,0.9,1.0,948.7,nan
2015-01-02 09:30:00,81.0,41.5,87.0,3.0,41.0,nan,nan,nan,59.0,850.0,989.65,0.0,0.0,32.9,90.45,8.35,-3.85,-5.35,-7.0,-5.2,324.5,239.0,7.6,0.8,4.95,0.6,1001.45,0.0,0.0,67.3,47.65,0.85,6.2,nan,267.0,20.0,0.45,0.6,1.15,0.75,948.6,nan
2015-01-02 10:00:00,88.0,44.0,93.5,3.0,40.0,nan,nan,nan,211.5,850.15,989.65,0.0,0.0,31.45,92.95,8.75,-1.65,-2.95,-7.25,-2.6,323.0,185.0,8.65,0.65,6.15,0.3,1001.5,0.0,0.0,65.85,46.2,1.5,8.1,nan,187.5,68.5,0.5,0.3,1.3,0.55,948.75,nan
2015-01-02 10:30:00,82.0,48.5,90.5,3.5,35.5,nan,nan,nan,161.5,850.3,989.6,0.0,0.0,31.2,88.75,8.7,-0.2,-2.05,-7.35,-1.85,320.5,145.0,8.3,0.85,5.7,0.2,1001.3,0.0,0.0,66.05,46.45,2.4,7.75,nan,202.5,57.0,0.5,0.3,1.25,0.5,948.7,nan
